상영내역,,,,,,,,,,
상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회
2015-03-07,05관 [CGV아트하우스],"09:50, 이다(디지털), 6,000원","11:40, 버드맨(디지털), 10,000원","14:30, 조류인간(디지털), 11,000원","18:10, 버드맨(디지털), 10,000원","21:05, 제네시스: 세상의 소금(디지털), 10,000원","23:25, 버드맨(디지털), 9,000원","25:55, 와일드(디지털), 9,000원",,
2015-03-07,06관,"09:40, 세인트 빈센트(디지털), 6,000원","11:50, 조선명탐정 : 사라진 놉의 딸(디지털), 10,000원","14:40, 세인트 빈센트(디지털), 10,000원","16:50, 버드맨(디지털), 10,000원","19:20, 세인트 빈센트(디지털), 10,000원","21:30, 조선명탐정 : 사라진 놉의 딸(디지털), 10,000원","24:10, 그레이의 50가지 그림자(디지털), 9,000원",,
2015-03-07,07관,"08:00, 버드맨(디지털), 6,000원","10:30, 버드맨(디지털), 10,000원","13:00, 버드맨(디지털), 10,000원","15:30, 버드맨(디지털), 10,000원","18:00, 기생수 파트1(디지털), 10,000원","20:20, 버드맨(디지털), 10,000원","22:50, 기생수 파트1(디지털), 10,000원","25:10, 버드맨(디지털), 9,000원",
2015-03-07,08관,"08:40, 순수의 시대(디지털), 6,000원","11:05, 순수의 시대(디지털), 10,000원","13:30, 순수의 시대(디지털), 10,000원","15:55, 순수의 시대(디지털), 10,000원","18:20, 순수의 시대(디지털), 10,000원","20:40, 순수의 시대(디지털), 10,000원","23:00, 순수의 시대(디지털), 9,000원","25:20, 순수의 시대(디지털), 9,000원",
2015-03-08,01관,"07:50, 이미테이션 게임(디지털), 6,000원","10:15, 이미테이션 게임(디지털), 10,000원","12:40, 이미테이션 게임(디지털), 10,000원","15:05, 이미테이션 게임(디지털), 10,000원","17:30, 이미테이션 게임(디지털), 10,000원","19:55, 이미테이션 게임(디지털), 10,000원","22:20, 이미테이션 게임(디지털), 10,000원","24:45, 이미테이션 게임(디지털), 9,000원",
2015-03-08,02관,,"10:25, 헬머니(디지털), 5,000원","12:40, 헬머니(디지털), 10,000원","14:55, 헬머니(디지털), 10,000원","17:10, 헬머니(디지털), 10,000원","19:25, 헬머니(디지털), 10,000원","21:40, 헬머니(디지털), 10,000원","24:00, 헬머니(디지털), 9,000원",
2015-03-08,03관,"08:50, 킹스맨 : 시크릿 에이전트(디지털), 7,000원","11:30, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","14:10, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","16:45, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","19:20, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","21:55, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","24:30, 킹스맨 : 시크릿 에이전트(디지털), 9,000원",,
2015-03-08,04관,"08:50, 빅 히어로(디지털), 6,000원","11:10, 센과 치히로의 행방불명(디지털), 10,000원","13:50, 이미테이션 게임(디지털), 10,000원","16:15, 이미테이션 게임(디지털), 10,000원","18:40, 그레이의 50가지 그림자(디지털), 10,000원","21:30, 기생수 파트1(디지털), 10,000원","23:50, 그레이의 50가지 그림자(디지털), 9,000원",,
2015-03-08,05관 [CGV아트하우스],"08:40, 이다(디지털), 6,000원","10:35, 버드맨(디지털), 10,000원","14:00, 소셜포비아(디지털), 10,000원","16:10, 버드맨(디지털), 10,000원","19:00, 조류인간(디지털), 10,000원","21:20, 제네시스: 세상의 소금(디지털), 10,000원","23:40, 와일드(디지털), 9,000원",,
2015-03-08,06관,"08:00, 세인트 빈센트(디지털), 6,000원","10:10, 조선명탐정 : 사라진 놉의 딸(디지털), 10,000원","12:55, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","15:30, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","18:05, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","20:40, 세인트 빈센트(디지털), 10,000원","22:50, 세인트 빈센트(디지털), 10,000원","25:00, 순수의 시대(디지털), 9,000원",
2015-03-08,07관,"09:30, 버드맨(디지털), 8,000원","12:00, 버드맨(디지털), 10,000원","14:30, 버드맨(디지털), 10,000원","17:20, 버드맨(디지털), 10,000원","19:50, 버드맨(디지털), 10,000원","22:30, 버드맨(디지털), 10,000원","24:55, 버드맨(디지털), 9,000원",,
